"REF_DATE","GEO","DGUID","Projection scenario","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383221","1.2.2.32","1386.7","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383221","1.2.2.32","1374.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383221","1.2.2.32","1371.4","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383221","1.2.2.32","1370.8","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383227","1.2.2.38","1572.6","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383227","1.2.2.38","1566.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383227","1.2.2.38","1557.6","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383227","1.2.2.38","1545.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383227","1.2.2.38","1539.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383227","1.2.2.38","1528.8","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383227","1.2.2.38","1508.8","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383234","1.2.2.44","1468.4","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383234","1.2.2.44","1491.0","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383234","1.2.2.44","1518.2","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383234","1.2.2.44","1544.1","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383234","1.2.2.44","1577.9","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383234","1.2.2.44","1599.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383234","1.2.2.44","1612.7","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383241","1.2.2.50","1384.5","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383241","1.2.2.50","1399.0","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383241","1.2.2.50","1412.1","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383241","1.2.2.50","1424.1","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383241","1.2.2.50","1442.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383241","1.2.2.50","1469.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383241","1.2.2.50","1505.2","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","45 to 49 years","Persons","249","thousands","3","v52383247","1.2.2.56","1251.4","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","45 to 49 years","Persons","249","thousands","3","v52383247","1.2.2.56","1267.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","45 to 49 years","Persons","249","thousands","3","v52383247","1.2.2.56","1290.1","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","45 to 49 years","Persons","249","thousands","3","v52383247","1.2.2.56","1312.7","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","45 to 49 years","Persons","249","thousands","3","v52383247","1.2.2.56","1341.3","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","45 to 49 years","Persons","249","thousands","3","v52383247","1.2.2.56","1368.2","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","45 to 49 years","Persons","249","thousands","3","v52383247","1.2.2.56","1392.0","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","50 to 54 years","Persons","249","thousands","3","v52383254","1.2.2.62","1199.8","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","50 to 54 years","Persons","249","thousands","3","v52383254","1.2.2.62","1194.9","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","50 to 54 years","Persons","249","thousands","3","v52383254","1.2.2.62","1189.5","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","50 to 54 years","Persons","249","thousands","3","v52383254","1.2.2.62","1194.8","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","50 to 54 years","Persons","249","thousands","3","v52383254","1.2.2.62","1210.1","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","50 to 54 years","Persons","249","thousands","3","v52383254","1.2.2.62","1230.8","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","50 to 54 years","Persons","249","thousands","3","v52383254","1.2.2.62","1252.9","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","55 to 59 years","Persons","249","thousands","3","v52383260","1.2.2.68","1224.7","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","55 to 59 years","Persons","249","thousands","3","v52383260","1.2.2.68","1195.2","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","55 to 59 years","Persons","249","thousands","3","v52383260","1.2.2.68","1185.4","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","55 to 59 years","Persons","249","thousands","3","v52383260","1.2.2.68","1180.9","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","55 to 59 years","Persons","249","thousands","3","v52383260","1.2.2.68","1176.6","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","55 to 59 years","Persons","249","thousands","3","v52383260","1.2.2.68","1171.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","55 to 59 years","Persons","249","thousands","3","v52383260","1.2.2.68","1170.8","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","60 to 64 years","Persons","249","thousands","3","v52383267","1.2.2.74","1334.7","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","60 to 64 years","Persons","249","thousands","3","v52383267","1.2.2.74","1329.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","60 to 64 years","Persons","249","thousands","3","v52383267","1.2.2.74","1304.5","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","60 to 64 years","Persons","249","thousands","3","v52383267","1.2.2.74","1268.7","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","60 to 64 years","Persons","249","thousands","3","v52383267","1.2.2.74","1226.1","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","60 to 64 years","Persons","249","thousands","3","v52383267","1.2.2.74","1189.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","60 to 64 years","Persons","249","thousands","3","v52383267","1.2.2.74","1164.0","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","15 to 19 years","Persons","249","thousands","3","v52383330","1.2.3.20","1114.6","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","15 to 19 years","Persons","249","thousands","3","v52383330","1.2.3.20","1125.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","15 to 19 years","Persons","249","thousands","3","v52383330","1.2.3.20","1133.3","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","15 to 19 years","Persons","249","thousands","3","v52383330","1.2.3.20","1137.6","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","15 to 19 years","Persons","249","thousands","3","v52383330","1.2.3.20","1143.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","15 to 19 years","Persons","249","thousands","3","v52383330","1.2.3.20","1148.0","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","15 to 19 years","Persons","249","thousands","3","v52383330","1.2.3.20","1152.8","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","20 to 24 years","Persons","249","thousands","3","v52383336","1.2.3.26","1289.9","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","20 to 24 years","Persons","249","thousands","3","v52383336","1.2.3.26","1258.0","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","20 to 24 years","Persons","249","thousands","3","v52383336","1.2.3.26","1243.1","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","20 to 24 years","Persons","249","thousands","3","v52383336","1.2.3.26","1236.1","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","20 to 24 years","Persons","249","thousands","3","v52383336","1.2.3.26","1255.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","20 to 24 years","Persons","249","thousands","3","v52383336","1.2.3.26","1273.0","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","20 to 24 years","Persons","249","thousands","3","v52383336","1.2.3.26","1291.3","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","25 to 29 years","Persons","249","thousands","3","v52383343","1.2.3.32","1421.3","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","25 to 29 years","Persons","249","thousands","3","v52383343","1.2.3.32","1388.0","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","25 to 29 years","Persons","249","thousands","3","v52383343","1.2.3.32","1347.3","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","25 to 29 years","Persons","249","thousands","3","v52383343","1.2.3.32","1312.6","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","25 to 29 years","Persons","249","thousands","3","v52383343","1.2.3.32","1304.2","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","25 to 29 years","Persons","249","thousands","3","v52383343","1.2.3.32","1302.3","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","25 to 29 years","Persons","249","thousands","3","v52383343","1.2.3.32","1301.0","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","30 to 34 years","Persons","249","thousands","3","v52383349","1.2.3.38","1491.9","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","30 to 34 years","Persons","249","thousands","3","v52383349","1.2.3.38","1488.0","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","30 to 34 years","Persons","249","thousands","3","v52383349","1.2.3.38","1484.3","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","30 to 34 years","Persons","249","thousands","3","v52383349","1.2.3.38","1477.1","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","30 to 34 years","Persons","249","thousands","3","v52383349","1.2.3.38","1477.9","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","30 to 34 years","Persons","249","thousands","3","v52383349","1.2.3.38","1474.0","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","30 to 34 years","Persons","249","thousands","3","v52383349","1.2.3.38","1465.2","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","35 to 39 years","Persons","249","thousands","3","v52383356","1.2.3.44","1422.3","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","35 to 39 years","Persons","249","thousands","3","v52383356","1.2.3.44","1445.2","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","35 to 39 years","Persons","249","thousands","3","v52383356","1.2.3.44","1471.7","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","35 to 39 years","Persons","249","thousands","3","v52383356","1.2.3.44","1496.6","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","35 to 39 years","Persons","249","thousands","3","v52383356","1.2.3.44","1525.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","35 to 39 years","Persons","249","thousands","3","v52383356","1.2.3.44","1545.7","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","35 to 39 years","Persons","249","thousands","3","v52383356","1.2.3.44","1555.4","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","40 to 44 years","Persons","249","thousands","3","v52383363","1.2.3.50","1363.2","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","40 to 44 years","Persons","249","thousands","3","v52383363","1.2.3.50","1379.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","40 to 44 years","Persons","249","thousands","3","v52383363","1.2.3.50","1393.5","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","40 to 44 years","Persons","249","thousands","3","v52383363","1.2.3.50","1406.2","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","40 to 44 years","Persons","249","thousands","3","v52383363","1.2.3.50","1423.2","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","40 to 44 years","Persons","249","thousands","3","v52383363","1.2.3.50","1446.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","40 to 44 years","Persons","249","thousands","3","v52383363","1.2.3.50","1478.1","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","45 to 49 years","Persons","249","thousands","3","v52383369","1.2.3.56","1256.2","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","45 to 49 years","Persons","249","thousands","3","v52383369","1.2.3.56","1271.7","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","45 to 49 years","Persons","249","thousands","3","v52383369","1.2.3.56","1292.9","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","45 to 49 years","Persons","249","thousands","3","v52383369","1.2.3.56","1315.1","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","45 to 49 years","Persons","249","thousands","3","v52383369","1.2.3.56","1342.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","45 to 49 years","Persons","249","thousands","3","v52383369","1.2.3.56","1367.0","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","45 to 49 years","Persons","249","thousands","3","v52383369","1.2.3.56","1389.6","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","50 to 54 years","Persons","249","thousands","3","v52383376","1.2.3.62","1226.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","50 to 54 years","Persons","249","thousands","3","v52383376","1.2.3.62","1221.1","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","50 to 54 years","Persons","249","thousands","3","v52383376","1.2.3.62","1215.5","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","50 to 54 years","Persons","249","thousands","3","v52383376","1.2.3.62","1221.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","50 to 54 years","Persons","249","thousands","3","v52383376","1.2.3.62","1234.2","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","50 to 54 years","Persons","249","thousands","3","v52383376","1.2.3.62","1251.9","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","50 to 54 years","Persons","249","thousands","3","v52383376","1.2.3.62","1271.3","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","55 to 59 years","Persons","249","thousands","3","v52383382","1.2.3.68","1258.3","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","55 to 59 years","Persons","249","thousands","3","v52383382","1.2.3.68","1234.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","55 to 59 years","Persons","249","thousands","3","v52383382","1.2.3.68","1230.0","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","55 to 59 years","Persons","249","thousands","3","v52383382","1.2.3.68","1226.9","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","55 to 59 years","Persons","249","thousands","3","v52383382","1.2.3.68","1223.2","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","55 to 59 years","Persons","249","thousands","3","v52383382","1.2.3.68","1218.2","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","55 to 59 years","Persons","249","thousands","3","v52383382","1.2.3.68","1215.9","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52383389","1.2.3.74","1370.5","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52383389","1.2.3.74","1368.2","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52383389","1.2.3.74","1346.0","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52383389","1.2.3.74","1316.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52383389","1.2.3.74","1280.9","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52383389","1.2.3.74","1250.4","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52383389","1.2.3.74","1228.8","","","","1"
"2024","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383574","1.3.2.20","1196.2","","","","1"
"2025","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383574","1.3.2.20","1210.7","","","","1"
"2026","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383574","1.3.2.20","1220.8","","","","1"
"2027","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383574","1.3.2.20","1227.4","","","","1"
"2028","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383574","1.3.2.20","1239.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383574","1.3.2.20","1248.1","","","","1"
"2030","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383574","1.3.2.20","1259.0","","","","1"
"2024","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383580","1.3.2.26","1448.6","","","","1"
"2025","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383580","1.3.2.26","1423.5","","","","1"
"2026","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383580","1.3.2.26","1411.8","","","","1"
"2027","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383580","1.3.2.26","1404.6","","","","1"
"2028","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383580","1.3.2.26","1434.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383580","1.3.2.26","1462.2","","","","1"
"2030","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383580","1.3.2.26","1488.9","","","","1"
"2024","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383587","1.3.2.32","1578.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383587","1.3.2.32","1539.3","","","","1"
"2026","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383587","1.3.2.32","1491.1","","","","1"
"2027","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383587","1.3.2.32","1449.0","","","","1"
"2028","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383587","1.3.2.32","1447.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383587","1.3.2.32","1454.6","","","","1"
"2030","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383587","1.3.2.32","1463.5","","","","1"
"2024","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383593","1.3.2.38","1590.7","","","","1"
"2025","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383593","1.3.2.38","1596.0","","","","1"
"2026","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383593","1.3.2.38","1596.3","","","","1"
"2027","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383593","1.3.2.38","1592.2","","","","1"
"2028","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383593","1.3.2.38","1597.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383593","1.3.2.38","1598.2","","","","1"
"2030","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v52383593","1.3.2.38","1589.3","","","","1"
"2024","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383600","1.3.2.44","1481.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383600","1.3.2.44","1511.8","","","","1"
"2026","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383600","1.3.2.44","1546.0","","","","1"
"2027","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383600","1.3.2.44","1578.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383600","1.3.2.44","1621.0","","","","1"
"2029","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383600","1.3.2.44","1652.0","","","","1"
"2030","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v52383600","1.3.2.44","1675.3","","","","1"
"2024","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383607","1.3.2.50","1393.2","","","","1"
"2025","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383607","1.3.2.50","1413.2","","","","1"
"2026","Canada","2016A000011124","Projection scenario M1: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v52383607","1.3.2.50","1430.9","","","","1"
